name,lat_NS,long_EW,elevation,q,q_uncertainty,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,tc_mean,tc_uncertainty,total_depth_MD,geo_lithology,geo_stratigraphy,Region,Quality_Code
1191-3(34-15),37.855,-118.08,1497.8,63.0,,43.0,,,1.5,,,,,,Ux.Mx.-------
1191-41(78-26),37.9083,-118.04,1762.9,59.0,,31.0,,,1.7,,,,,,Ux.Mx.-------
15 MI CK,45.445,-121.16,467.0,42.0,,27.2,,,1.6,,,,,,Ux.Mx.-------
1500-2,41.9183,-118.73,1406.0,84.1,,60.1,,,1.4,,,,,,Ux.Mx.-------
15-21,40.2767,-118.38,1235.3,131.2,,65.6,,,2.0,,,,,,Ux.Mx.-------
17-24,40.2833,-118.34,1338.1,98.0,,75.4,,,1.3,,,,,,Ux.Mx.-------
17G1,39.7717,-118.07,1038.3,121.5,,50.0,,,2.4,,,,,,Ux.Mx.-------
18-24,40.28,-118.33,1398.5,101.1,,77.8,,,1.3,,,,,,Ux.Mx.-------
18G1,39.7733,-118.09,1068.3,128.0,,51.0,,,2.5,,,,,,Ux.Mx.-------
19-76-1,39.24,-118.44,1206.6,75.3,,35.0,,,2.0,,,,,,Ux.Mx.-------
19-76-10,39.3467,-118.32,1352.0,83.7,,54.2,,,1.5,,,,,,Ux.Mx.-------
19-76-12,39.3817,-118.26,1410.6,117.2,,51.9,,,2.2,,,,,,Ux.Mx.-------
19-76-13A,39.395,-118.28,1491.2,71.1,,33.7,,,2.1,,,,,,Ux.Mx.-------
19-76-14,39.4133,-118.24,1458.6,43.5,,33.4,,,1.3,,,,,,Ux.Mx.-------
19-76-15,39.4433,-118.21,1389.7,83.7,,41.1,,,2.0,,,,,,Ux.Mx.-------
19-76-16,39.4433,-118.27,1697.1,113.0,,52.8,,,2.1,,,,,,Ux.Mx.-------
19-76-17,39.5283,-118.18,1279.9,37.7,,17.8,,,2.2,,,,,,Ux.Mx.-------
19-76-17A,39.5217,-118.21,1507.6,29.3,,14.6,,,2.1,,,,,,Ux.Mx.-------
19-76-2,39.245,-118.49,1205.9,100.4,,61.2,,,1.6,,,,,,Ux.Mx.-------
19-76-21,39.3117,-118.43,1242.9,62.8,,38.9,,,1.6,,,,,,Ux.Mx.-------
19-76-27,39.5633,-118.16,1141.2,121.3,,51.9,,,2.3,,,,,,Ux.Mx.-------
19-76-31A,39.4133,-118.18,1296.7,129.7,,60.1,,,2.1,,,,,,Ux.Mx.-------
19-76-38,39.275,-118.49,1194.7,121.3,,77.5,,,1.6,,,,,,Ux.Mx.-------
19-76-40,39.5467,-118.09,1187.1,54.4,,28.4,,,1.9,,,,,,Ux.Mx.-------
19-76-43,39.48,-118.16,1187.6,33.5,,16.0,,,2.0,,,,,,Ux.Mx.-------
19-76-5,39.2683,-118.41,1226.8,75.3,,43.3,,,1.7,,,,,,Ux.Mx.-------
19-76-7,39.2983,-118.4,1276.4,62.8,,42.2,,,1.5,,,,,,Ux.Mx.-------
19-76-9A,39.315,-118.31,1301.1,71.1,,41.5,,,1.8,,,,,,Ux.Mx.-------
20G1,39.765,-118.08,1041.0,136.1,,66.4,,,2.0,,,,,,Ux.Mx.-------
21-78,40.4617,-119.42,1250.8,131.0,,58.2,,,2.2,,,,,,Ux.Mx.-------
2-18A3,40.75,-112.25,1282.0,77.0,,28.9,,,2.7,,,,,,Ux.Mx.-------
22-78,40.4533,-119.42,1238.6,127.4,,63.7,,,2.0,,,,,,Ux.Mx.-------
23-76-1,38.9383,-122.97,749.8,92.0,,38.2,,,2.4,,,,,,Ux.Mx.-------
23-76-15,38.8667,-122.87,935.0,84.0,,28.0,,,2.9,,,,,,Ux.Mx.-------
23-76-4,38.87,-122.9,757.2,145.0,,47.0,,,3.2,,,,,,Ux.Mx.-------
23-76-A3,38.87,-122.92,832.3,133.0,,37.2,,,2.8,,,,,,Ux.Mx.-------
23-76-B1,38.915,-122.95,844.8,117.0,,36.9,,,3.2,,,,,,Ux.Mx.-------
23-76-B2,38.8967,-122.91,779.6,92.0,,29.3,,,3.1,,,,,,Ux.Mx.-------
23-76-B3,38.9183,-122.8,669.5,42.0,,22.0,,,1.9,,,,,,Ux.Mx.-------
23-76-B4,38.9017,-122.8,812.4,96.0,,65.5,,,1.5,,,,,,Ux.Mx.-------
23-76-B6,38.7967,-122.68,784.0,113.0,,63.7,,,1.8,,,,,,Ux.Mx.-------
23-78,40.4433,-119.41,1254.3,149.2,,74.6,,,2.0,,,,,,Ux.Mx.-------
24-33,37.9117,-117.67,1528.6,49.6,,34.0,,,1.5,,,,,,Ux.Mx.-------
24-36,38.5,-112.83,1988.1,110.6,,79.0,,,1.4,,,,,,Ux.Mx.-------
25-15,38.46,-112.86,1841.8,102.2,,73.0,,,1.4,,,,,,Ux.Mx.-------
26-78,40.4383,-119.42,1226.4,127.4,,63.7,,,2.0,,,,,,Ux.Mx.-------
2-77-1,31.9733,-106.7,1242.9,79.0,,37.5,,,2.1,,,,,,Ux.Mx.-------
2-77-2,31.9583,-106.69,1221.2,84.0,,38.2,,,2.2,,,,,,Ux.Mx.-------
2-77-3,31.9583,-106.67,1163.6,100.0,,78.3,,,1.3,,,,,,Ux.Mx.-------
2-77-4,31.95,-106.71,1249.8,100.0,,49.9,,,2.0,,,,,,Ux.Mx.-------
2-77-5,31.945,-106.73,1254.5,96.0,,47.0,,,2.0,,,,,,Ux.Mx.-------
2-77-6,31.9333,-106.72,1252.0,100.0,,45.9,,,2.2,,,,,,Ux.Mx.-------
2-77-7,31.9233,-106.7,1244.0,84.0,,41.9,,,2.0,,,,,,Ux.Mx.-------
2-77-8,31.9083,-106.68,1192.9,96.0,,45.9,,,2.1,,,,,,Ux.Mx.-------
28-13-35-1,38.3283,-113.28,1892.5,112.2,,66.0,,,1.7,,,,,,Ux.Mx.-------
28-15,40.03,-117.92,1883.2,91.7,,65.5,,,1.4,,,,,,Ux.Mx.-------
28-78,40.4317,-119.41,1248.2,127.4,,63.7,,,2.0,,,,,,Ux.Mx.-------
30-78,40.4433,-119.39,1336.8,116.4,,58.2,,,2.0,,,,,,Ux.Mx.-------
31-32,37.9117,-117.68,1511.7,120.0,,60.0,,,2.0,,,,,,Ux.Mx.-------
31-78,40.445,-119.4,1293.4,102.0,,60.0,,,1.7,,,,,,Ux.Mx.-------
3316-C,39.5233,-118.17,1232.9,56.9,,13.3,,,1.8,,,,,,Ux.Mx.-------
3316-C,39.5233,-118.17,1232.9,109.2,,77.7,,,1.8,,,,,,Ux.Mx.-------
3316-C,39.5233,-118.17,1232.9,140.6,,72.7,,,1.8,,,,,,Ux.Mx.-------
3317-B,39.5133,-118.16,1191.0,41.9,,18.2,,,2.3,,,,,,Ux.Mx.-------
3317-B,39.5133,-118.16,1191.0,87.9,,38.2,,,2.3,,,,,,Ux.Mx.-------
3323-A,39.495,-118.14,1183.0,72.6,,38.2,,,1.9,,,,,,Ux.Mx.-------
3323-B,39.495,-118.14,1183.0,26.2,,11.4,,,2.3,,,,,,Ux.Mx.-------
3326-A,39.505,-118.15,1165.4,37.2,,15.5,,,2.4,,,,,,Ux.Mx.-------
35-1,37.8833,-118.04,1693.8,131.0,,73.0,,,1.9,,,,,,Ux.Mx.-------
3524-B,39.4183,-118.26,1515.3,67.0,,31.2,,,2.8,,,,,,Ux.Mx.-------
3524-C,39.4183,-118.26,1515.3,95.4,,30.2,,,3.0,,,,,,Ux.Mx.-------
3531-C,39.4033,-118.25,1468.8,146.1,,47.4,,,3.1,,,,,,Ux.Mx.-------
36-01,39.7233,-119.02,1269.0,76.4,,54.6,,,1.4,,,,,,Ux.Mx.-------
367/TV-14,39.42,-113.41,1360.9,67.0,,31.0,,,2.2,,,,,,Ux.Mx.-------
371/TV-08,39.3017,-113.56,1408.1,79.0,,62.0,,,1.3,,,,,,Ux.Mx.-------
3-74-10,40.405,-119.43,1226.7,75.7,,47.3,,,1.6,,,,,,Ux.Mx.-------
3-74-12,40.4183,-119.43,1225.7,98.2,,49.1,,,2.0,,,,,,Ux.Mx.-------
3-74-14,40.435,-119.43,1222.6,100.0,,45.5,,,2.2,,,,,,Ux.Mx.-------
3-77-12,35.675,-106.74,1750.9,67.0,,29.7,,,2.3,,,,,,Ux.Mx.-------
3-77-18,35.6517,-106.7,1878.4,63.0,,20.2,,,3.2,,,,,,Ux.Mx.-------
3-77-20,35.67,-106.66,1906.6,92.0,,25.5,,,3.6,,,,,,Ux.Mx.-------
3-77-32,35.78,-106.72,2392.4,71.0,,50.1,,,1.4,,,,,,Ux.Mx.-------
3-77-6,35.7067,-106.73,1920.0,109.0,,44.4,,,2.4,,,,,,Ux.Mx.-------
3-77-7,35.7117,-106.7,2158.6,75.0,,20.2,,,3.7,,,,,,Ux.Mx.-------
37-78,40.3367,-119.42,1292.6,145.6,,72.8,,,2.0,,,,,,Ux.Mx.-------
38-09,39.87,-117.48,1616.4,106.0,,75.7,,,1.4,,,,,,Ux.Mx.-------
3B,39.5367,-119.74,1342.4,115.5,,60.8,,,1.9,,,,,,Ux.Mx.-------
418/TV-07,39.3667,-113.6,1404.0,46.0,,22.0,,,2.1,,,,,,Ux.Mx.-------
43-78,40.3833,-119.39,1325.3,143.3,,63.7,,,2.2,,,,,,Ux.Mx.-------
44-10,40.2233,-118.38,1274.2,76.5,,17.8,,,4.3,,,,,,Ux.Mx.-------
45-14,39.8617,-118.01,1062.2,27.8,,11.1,,,2.5,,,,,,Ux.Mx.-------
45-33,39.99,-117.82,1052.7,101.0,,76.4,,,1.3,,,,,,Ux.Mx.-------
45-4,37.8767,-117.66,1509.2,137.9,,66.0,,,2.1,,,,,,Ux.Mx.-------
4566-31-1,41.7433,-114.56,1833.6,81.5,,58.2,,,1.4,,,,,,Ux.Mx.-------
4-77-11,35.5217,-107.15,1832.2,79.0,,40.4,,,2.0,,,,,,Ux.Mx.-------
4-77-12A,35.5217,-107.13,1794.1,71.0,,27.3,,,2.6,,,,,,Ux.Mx.-------
4-77-13,35.5017,-107.15,1863.7,100.0,,54.8,,,1.8,,,,,,Ux.Mx.-------
4-77-13,35.5017,-107.15,1863.7,79.0,,28.9,,,2.8,,,,,,Ux.Mx.-------
4-77-3,35.515,-107.18,1877.8,67.0,,21.5,,,3.1,,,,,,Ux.Mx.-------
4-77-4,35.52,-107.2,1906.1,67.0,,21.8,,,3.1,,,,,,Ux.Mx.-------
4-77-5A,35.5,-107.19,1910.6,46.0,,15.1,,,2.9,,,,,,Ux.Mx.-------
47-78,40.3683,-119.38,1345.3,134.3,,74.6,,,1.8,,,,,,Ux.Mx.-------
51-29,37.9133,-117.67,1527.1,130.2,,62.0,,,2.1,,,,,,Ux.Mx.-------
52-21,38.45,-112.87,1793.6,52.4,,13.1,,,4.0,,,,,,Ux.Mx.-------
52-78,40.4083,-119.39,1348.4,98.7,,56.4,,,1.8,,,,,,Ux.Mx.-------
54-13,39.8583,-117.88,1039.0,41.4,,29.6,,,1.4,,,,,,Ux.Mx.-------
55-10-FL,37.8683,-117.97,1441.3,101.9,,72.8,,,1.4,,,,,,Ux.Mx.-------
55-2,37.8817,-118.06,1694.6,41.8,,25.0,,,1.7,,,,,,Ux.Mx.-------
55-2,37.8817,-118.06,1694.6,118.6,,71.0,,,1.7,,,,,,Ux.Mx.-------
62-21,39.9383,-117.82,1053.4,112.5,,50.0,,,2.2,,,,,,Ux.Mx.-------
62-21,39.9383,-117.82,1053.4,148.8,,35.0,,,4.2,,,,,,Ux.Mx.-------
62A-23,39.9367,-117.89,1039.8,103.2,,25.8,,,4.0,,,,,,Ux.Mx.-------
66-21,39.9317,-117.93,1042.8,91.0,,55.5,,,2.5,,,,,,Ux.Mx.-------
7 MI HLL,45.6583,-121.33,371.6,54.0,,33.9,,,1.6,,,,,,Ux.Mx.-------
76-28,40.0017,-117.81,1055.1,120.6,,28.0,,,4.3,,,,,,Ux.Mx.-------
7-77-2A,34.98,-107.91,2104.4,63.0,,22.7,,,2.7,,,,,,Ux.Mx.-------
7-77-4A,34.9567,-107.97,2178.8,46.0,,17.3,,,2.7,,,,,,Ux.Mx.-------
7-77-5,34.935,-107.98,2162.1,67.0,,21.5,,,3.1,,,,,,Ux.Mx.-------
7-77-6,34.9533,-107.92,2094.1,71.0,,22.0,,,3.3,,,,,,Ux.Mx.-------
78-12,42.6733,-118.38,1292.4,33.0,,28.4,,,1.2,,,,,,Ux.Mx.-------
78-22,42.58,-118.51,1238.1,71.0,,62.0,,,1.2,,,,,,Ux.Mx.-------
78-26R,42.5633,-118.53,1294.6,67.0,,53.7,,,1.3,,,,,,Ux.Mx.-------
78-26R,42.5633,-118.53,1294.6,63.0,,34.6,,,1.9,,,,,,Ux.Mx.-------
78-2A,39.3733,-118.58,1224.6,37.7,,23.0,,,1.5,,,,,,Ux.Mx.-------
78-3,39.3883,-118.51,1257.7,117.2,,72.0,,,1.6,,,,,,Ux.Mx.-------
78-34,42.5167,-118.53,1240.4,38.0,,40.1,,,0.9,,,,,,Ux.Mx.-------
78-44,42.445,-118.53,1227.5,63.0,,48.6,,,1.3,,,,,,Ux.Mx.-------
78-49,42.4383,-118.42,1254.6,75.0,,71.8,,,1.0,,,,,,Ux.Mx.-------
78-49,42.4383,-118.42,1254.6,54.0,,43.0,,,1.3,,,,,,Ux.Mx.-------
78-4a,42.715,-118.3,1238.5,54.0,,40.2,,,1.4,,,,,,Ux.Mx.-------
78-5R,42.68,-118.35,1245.9,29.0,,23.7,,,1.2,,,,,,Ux.Mx.-------
78-5R,42.68,-118.35,1245.9,75.0,,52.9,,,1.4,,,,,,Ux.Mx.-------
78-6,42.6967,-118.33,1250.6,88.0,,76.7,,,1.2,,,,,,Ux.Mx.-------
78-6,42.6967,-118.33,1250.6,105.0,,74.7,,,1.4,,,,,,Ux.Mx.-------
78-6,39.3617,-118.53,1208.2,41.8,,27.0,,,1.5,,,,,,Ux.Mx.-------
78-7,42.675,-118.32,1272.1,59.0,,51.0,,,1.2,,,,,,Ux.Mx.-------
78-72,42.605,-118.52,1348.8,42.0,,43.7,,,1.0,,,,,,Ux.Mx.-------
78-72,42.605,-118.52,1348.8,50.0,,49.2,,,1.0,,,,,,Ux.Mx.-------
78-72,42.605,-118.52,1348.8,46.0,,41.9,,,1.1,,,,,,Ux.Mx.-------
78-72,42.605,-118.52,1348.8,79.0,,69.3,,,1.2,,,,,,Ux.Mx.-------
78-9,42.6633,-118.32,1377.5,63.0,,47.4,,,1.3,,,,,,Ux.Mx.-------
78-9,42.6633,-118.32,1377.5,29.0,,21.9,,,1.4,,,,,,Ux.Mx.-------
78-9,39.3283,-118.5,1209.6,58.6,,39.0,,,1.5,,,,,,Ux.Mx.-------
78-9,39.3283,-118.5,1209.6,87.9,,60.0,,,1.5,,,,,,Ux.Mx.-------
79-1,39.3633,-118.6,1203.9,87.9,,53.0,,,1.6,,,,,,Ux.Mx.-------
79-18,39.3867,-118.54,1240.6,125.5,,77.0,,,1.6,,,,,,Ux.Mx.-------
79-20,39.4317,-118.52,1265.0,121.3,,74.0,,,1.6,,,,,,Ux.Mx.-------
79-28,39.2583,-118.62,1210.6,66.9,,41.0,,,1.6,,,,,,Ux.Mx.-------
79-28,39.2583,-118.62,1210.6,87.9,,54.0,,,1.6,,,,,,Ux.Mx.-------
79-5,42.5483,-118.52,1228.0,33.0,,36.5,,,0.9,,,,,,Ux.Mx.-------
80-5106,43.725,-117.11,851.7,121.3,,71.3,,,1.7,,,,,,Ux.Mx.-------
80-5111,43.6733,-117.14,999.1,50.2,,39.3,,,1.3,,,,,,Ux.Mx.-------
80-5116,43.6183,-117.22,1173.4,58.6,,43.9,,,1.3,,,,,,Ux.Mx.-------
80-5116,43.6183,-117.22,1173.4,36.8,,25.8,,,1.4,,,,,,Ux.Mx.-------
80-5117,43.62,-117.2,1183.0,64.9,,50.0,,,1.3,,,,,,Ux.Mx.-------
80-5117,43.62,-117.2,1183.0,54.4,,33.5,,,1.6,,,,,,Ux.Mx.-------
80-5120,43.5683,-117.22,1364.3,50.2,,37.1,,,1.3,,,,,,Ux.Mx.-------
80-5122,43.5583,-117.22,1373.5,50.2,,39.0,,,1.3,,,,,,Ux.Mx.-------
80-5122,43.5583,-117.22,1373.5,79.7,,54.4,,,1.5,,,,,,Ux.Mx.-------
81-5104,43.7167,-117.29,1005.0,77.0,,64.2,,,1.2,,,,,,Ux.Mx.-------
81-5167,43.7,-117.17,837.4,64.9,,47.1,,,1.4,,,,,,Ux.Mx.-------
81-5172,43.7333,-117.2,797.0,28.5,,24.9,,,1.1,,,,,,Ux.Mx.-------
82-33,38.5117,-112.86,1792.6,79.8,,57.0,,,1.4,,,,,,Ux.Mx.-------
844-12,42.9133,-116.32,1033.8,87.9,,27.0,,,2.7,,,,,,Ux.Mx.-------
844-18,42.7717,-116.26,1285.7,96.2,,41.0,,,2.2,,,,,,Ux.Mx.-------
844-19,42.8167,-116.18,1036.9,125.5,,77.0,,,1.3,,,,,,Ux.Mx.-------
844-20,42.77,-116.15,1087.3,125.5,,80.0,,,1.9,,,,,,Ux.Mx.-------
844-22,42.7917,-116.11,1014.7,71.1,,54.0,,,1.5,,,,,,Ux.Mx.-------
844-23,42.7383,-116.12,1189.3,129.7,,70.0,,,2.5,,,,,,Ux.Mx.-------
844-3,42.9233,-116.35,1007.2,113.0,,47.0,,,2.5,,,,,,Ux.Mx.-------
844-37,42.7367,-115.98,1009.4,108.8,,66.0,,,2.5,,,,,,Ux.Mx.-------
844-39,42.77,-115.97,910.0,58.6,,25.0,,,2.7,,,,,,Ux.Mx.-------
844-4,42.9117,-116.36,1083.7,121.3,,47.0,,,2.5,,,,,,Ux.Mx.-------
844-40,42.9417,-116.35,919.9,81.0,,30.0,,,2.7,,,,,,Ux.Mx.-------
844-41,42.8517,-116.32,1268.3,87.9,,36.0,,,2.5,,,,,,Ux.Mx.-------
844-5,42.9033,-116.37,1118.4,117.2,,70.0,,,1.9,,,,,,Ux.Mx.-------
844-56,42.8083,-115.93,817.2,31.5,,15.0,,,2.1,,,,,,Ux.Mx.-------
844-58,42.9683,-116.48,1174.5,146.4,,48.0,,,2.7,,,,,,Ux.Mx.-------
844-59,42.925,-116.43,1148.1,133.9,,73.0,,,3.4,,,,,,Ux.Mx.-------
844-6,42.855,-116.31,1224.7,54.4,,40.0,,,1.3,,,,,,Ux.Mx.-------
844-60,42.8683,-116.37,1280.3,104.6,,41.0,,,2.4,,,,,,Ux.Mx.-------
844-7,42.8617,-116.3,1165.8,62.8,,44.0,,,1.5,,,,,,Ux.Mx.-------
844-82,42.7033,-115.76,1016.8,125.5,,63.0,,,2.1,,,,,,Ux.Mx.-------
860-17,41.4033,-116.12,1740.5,99.0,,55.1,,,1.7,,,,,,Ux.Mx.-------
860-18,41.385,-116.15,1717.5,95.0,,52.7,,,1.7,,,,,,Ux.Mx.-------
860-28,41.5,-116.1,1920.0,118.0,,41.4,,,2.5,,,,,,Ux.Mx.-------
860-31,41.4467,-116.1,1803.2,28.0,,45.5,,,1.5,,,,,,Ux.Mx.-------
860-37,41.5167,-116.15,1958.1,128.0,,54.0,,,2.3,,,,,,Ux.Mx.-------
864-13,39.8617,-117.47,1677.7,120.0,,62.2,,,1.9,,,,,,Ux.Mx.-------
864-19,39.9017,-117.45,1573.3,79.8,,57.0,,,1.4,,,,,,Ux.Mx.-------
864-2,39.785,-117.47,1711.0,74.0,,43.5,,,1.7,,,,,,Ux.Mx.-------
864-20,39.8683,-117.44,1626.9,50.0,,35.7,,,1.4,,,,,,Ux.Mx.-------
864-26,39.9017,-117.57,1334.0,39.5,,28.2,,,1.4,,,,,,Ux.Mx.-------
864-29,39.8717,-117.51,1520.1,94.6,,67.6,,,1.4,,,,,,Ux.Mx.-------
864-5,39.8267,-117.48,1678.6,84.0,,50.1,,,1.7,,,,,,Ux.Mx.-------
864-52,39.7467,-117.57,1666.5,76.3,,54.5,,,1.4,,,,,,Ux.Mx.-------
864-54,39.8433,-117.66,1536.1,47.6,,34.0,,,1.4,,,,,,Ux.Mx.-------
864-6,39.85,-117.47,1667.8,142.0,,73.6,,,1.9,,,,,,Ux.Mx.-------
864-62,39.8433,-117.66,1536.1,51.0,,36.4,,,1.4,,,,,,Ux.Mx.-------
864-88,39.74,-117.54,1670.7,126.0,,75.0,,,1.7,,,,,,Ux.Mx.-------
864-90,39.735,-117.51,1762.4,84.0,,31.0,,,3.1,,,,,,Ux.Mx.-------
864-92,39.71,-117.46,1891.5,71.0,,29.2,,,2.1,,,,,,Ux.Mx.-------
864-93,39.82,-117.45,1604.7,92.0,,51.7,,,1.9,,,,,,Ux.Mx.-------
864-94,39.75,-117.44,1762.1,84.0,,40.0,,,2.1,,,,,,Ux.Mx.-------
864-95,39.78,-117.44,1675.1,118.0,,62.0,,,1.7,,,,,,Ux.Mx.-------
864-96,39.795,-117.45,1638.1,112.0,,40.9,,,2.7,,,,,,Ux.Mx.-------
864-97,39.8167,-117.45,1607.0,76.0,,31.2,,,2.3,,,,,,Ux.Mx.-------
88-11,37.86,-118.05,1557.5,42.0,,30.0,,,1.4,,,,,,Ux.Mx.-------
903-13,39.7117,-117.93,1177.0,38.0,,19.0,,,2.0,,,,,,Ux.Mx.-------
903-13,39.7117,-117.93,1177.0,58.0,,29.0,,,2.0,,,,,,Ux.Mx.-------
903-13,39.7117,-117.93,1177.0,82.5,,33.0,,,2.5,,,,,,Ux.Mx.-------
903-14,39.6367,-118.04,1096.3,89.6,,64.0,,,1.4,,,,,,Ux.Mx.-------
903-14,39.6367,-118.04,1096.3,100.3,,48.0,,,2.1,,,,,,Ux.Mx.-------
903-16,39.6617,-117.89,1549.9,126.0,,63.0,,,2.0,,,,,,Ux.Mx.-------
903-16,39.6617,-117.89,1549.9,146.0,,73.0,,,2.0,,,,,,Ux.Mx.-------
903-16,39.6617,-117.89,1549.9,100.3,,48.0,,,2.1,,,,,,Ux.Mx.-------
903-2,39.6617,-118.02,1101.2,83.5,,50.0,,,1.7,,,,,,Ux.Mx.-------
903-3,39.67,-118.04,1054.3,110.8,,53.0,,,2.1,,,,,,Ux.Mx.-------
903-4,39.645,-118.0,1266.0,57.6,,28.8,,,2.0,,,,,,Ux.Mx.-------
903-4,39.645,-118.0,1266.0,88.8,,35.5,,,2.5,,,,,,Ux.Mx.-------
903-5,39.6333,-117.99,1415.6,44.5,,17.8,,,2.5,,,,,,Ux.Mx.-------
903-7,39.6767,-117.99,1119.9,88.0,,44.0,,,2.0,,,,,,Ux.Mx.-------
903-8,39.69,-117.97,1112.4,47.5,,27.0,,,1.8,,,,,,Ux.Mx.-------
903-8,39.69,-117.97,1112.4,65.1,,37.0,,,1.8,,,,,,Ux.Mx.-------
903-8,39.69,-117.97,1112.4,68.6,,39.0,,,1.8,,,,,,Ux.Mx.-------
9-76-11,35.8067,-106.71,2422.2,84.0,,67.3,,,1.2,,,,,,Ux.Mx.-------
9-76-7,35.73,-106.71,1977.2,142.0,,60.6,,,2.3,,,,,,Ux.Mx.-------
9-76-G,35.735,-106.77,2002.0,138.0,,54.8,,,2.5,,,,,,Ux.Mx.-------
A.M. Hospital #4,37.8333,-96.94,427.3,65.1,,40.1,,,1.6,,,,,,Ux.Mx.-------
A1,43.5883,-111.81,1544.1,114.0,,63.3,,,1.8,,,,,,Ux.Mx.-------
A-1,32.1933,-108.96,1321.9,49.1,,27.3,,,1.8,,,,,,Ux.Mx.-------
A-10,31.9717,-108.79,1345.3,32.5,,13.0,,,2.5,,,,,,Ux.Mx.-------
A-11,32.22,-108.83,1286.8,78.8,,35.0,,,2.2,,,,,,Ux.Mx.-------
A-12,32.255,-108.83,1286.9,58.8,,42.0,,,1.4,,,,,,Ux.Mx.-------
A-2,32.2417,-108.91,1267.9,137.0,,60.9,,,2.2,,,,,,Ux.Mx.-------
A-3,32.2083,-108.88,1270.8,98.8,,43.9,,,2.2,,,,,,Ux.Mx.-------
A-4,32.235,-108.83,1287.6,36.5,,16.2,,,2.2,,,,,,Ux.Mx.-------
A-5,32.2,-108.84,1278.2,141.8,,63.0,,,2.2,,,,,,Ux.Mx.-------
A-6,32.2017,-108.8,1322.1,59.4,,42.4,,,1.4,,,,,,Ux.Mx.-------
A-7,32.17,-108.91,1276.6,75.2,,33.4,,,2.2,,,,,,Ux.Mx.-------
A-8,32.185,-108.79,1342.1,99.0,,44.0,,,2.2,,,,,,Ux.Mx.-------
A-9,32.2433,-108.77,1378.8,105.0,,42.0,,,2.5,,,,,,Ux.Mx.-------
ABBOTN,36.4,-104.23,1983.4,55.0,,45.6,,,1.2,,,,,,Ux.Mx.-------
ABQSE2,34.9333,-106.55,1631.0,60.0,,17.5,,,3.4,,,,,,Ux.Mx.-------
AC-1,33.9667,-117.63,184.1,67.0,,55.1,,,1.3,,,,,,Ux.Mx.-------
ACKLEY 1,41.7433,-121.31,1274.5,79.0,,54.7,,,1.5,,,,,,Ux.Mx.-------
AD-1,42.5367,-118.49,1219.8,65.0,,75.8,,,0.9,,,,,,Ux.Mx.-------
AD-1,42.535,-118.47,1220.0,67.0,,74.7,,,0.9,,,,,,Ux.Mx.-------
AD-2E,42.5383,-118.43,1221.9,54.0,,60.1,,,0.9,,,,,,Ux.Mx.-------
ADAM TUN,40.25,-105.67,3519.5,66.0,,19.7,,,3.3,,,,,,Ux.Mx.-------
ADCOH-2,34.7533,-83.24,449.8,54.0,,19.4,,,2.8,,,,,,Ux.Mx.-------
ADCOH-3,34.7567,-83.15,391.6,57.0,,16.3,,,3.5,,,,,,Ux.Mx.-------
ADPA,36.2333,-107.73,2068.8,65.0,,29.5,,,2.2,,,,,,Ux.Mx.-------
ADRIAN 1,43.7417,-117.09,731.2,78.4,,56.0,,,1.4,,,,,,Ux.Mx.-------
Adsit #A25,37.8383,-96.91,423.0,60.5,,36.6,,,1.6,,,,,,Ux.Mx.-------
AE-WW,43.7983,-122.42,696.2,43.0,,36.5,,,1.2,,,,,,Ux.Mx.-------
AGLA,33.7417,-113.12,776.0,61.0,,22.6,,,2.7,,,,,,Ux.Mx.-------
A-GP-13,38.7983,-122.87,574.9,132.0,,41.0,,,3.2,,,,,,Ux.Mx.-------
AH-13,40.695,-119.35,1213.9,29.0,,24.0,,,1.2,,,,,,Ux.Mx.-------
AH-15A,39.52,-118.6,1193.7,84.0,,59.0,,,1.4,,,,,,Ux.Mx.-------
AH-16,39.5183,-118.63,1194.8,42.0,,29.0,,,1.4,,,,,,Ux.Mx.-------
AH-23A,39.4833,-118.56,1195.2,109.0,,76.0,,,1.4,,,,,,Ux.Mx.-------
AH-3,40.6483,-119.35,1196.8,59.0,,56.0,,,1.0,,,,,,Ux.Mx.-------
AH-7,40.6383,-119.41,1212.8,79.0,,74.0,,,1.1,,,,,,Ux.Mx.-------
ALBERTA,36.87,-77.9,113.4,59.0,,18.0,,,3.3,,,,,,Ux.Mx.-------
ALHAMBRA,46.45,-111.98,1344.9,30.8,,22.0,,,1.4,,,,,,Ux.Mx.-------
ALMO-2,42.1333,-114.01,1756.5,109.0,,52.0,,,2.1,,,,,,Ux.Mx.-------
ALP,32.9883,-111.11,825.7,76.0,,23.1,,,3.3,,,,,,Ux.Mx.-------
ALTON,43.4833,-71.27,323.8,66.0,,25.7,,,2.5,,,,,,Ux.Mx.-------
AMAX-1,38.68,-122.55,675.7,121.3,,36.2,,,3.3,,,,,,Ux.Mx.-------
AMAX-L1,38.69,-122.61,558.4,94.0,,47.6,,,2.3,,,,,,Ux.Mx.-------
AMAX-L31,38.6733,-122.58,606.8,130.0,,49.4,,,2.6,,,,,,Ux.Mx.-------
AMAX-L33,38.67,-122.56,754.1,130.0,,71.3,,,1.8,,,,,,Ux.Mx.-------
AMAX-L36,38.6933,-122.51,526.2,142.0,,79.8,,,1.8,,,,,,Ux.Mx.-------
